
1-🥬📺央视,#genre#
CCTV1综合,http://goo.bkpcp.top/mg/cctv1
CCTV2财经,http://goo.bkpcp.top/mg/cctv2
CCTV1综合,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV2财经,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV1综合,http://wouu.net:9977/udp/239.93.0.184:5140#http://drive.mxmy.net:8888/udp/239.3.1.129:8008
CCTV2财经,http://drive.mxmy.net:8888/udp/239.3.1.60:8084
CCTV1综合,http://61.160.112.102:35455/gaoma/cctv1.m3u8#http://lt.hxtre.com:35455/itv/1000000005000265001.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/itv/1000000001000018602.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/gaoma/cctv1.m3u8
CCTV2财经,http://lt.hxtre.com:35455/gaoma/cctv2.m3u8#http://lt.hxtre.com:35455/itv/1000000001000012442.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/itv/1000000001000023315.m3u8?cdn=ystenlive#http://39.164.160.249:9901/tsfile/live/0002_1.m3u8#http://61.160.112.102:35455/gaoma/cctv2.m3u8
CCTV3综艺,http://goo.bkpcp.top/mg/cctv3#http://z.b.bkpcp.top/m.php?id=cctv3#http://drive.mxmy.net:8888/udp/239.3.1.172:8001#http://61.160.112.102:35455/gaoma/cctv3.m3u8#http://lt.hxtre.com:35455/itv/1000000001000011218.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/gaoma/cctv3.m3u8
CCTV4中文国际,http://goo.bkpcp.top/mg/cctv4#http://z.b.bkpcp.top/m.php?id=cctv4#http://drive.mxmy.net:8888/udp/239.3.1.105:8092#http://61.160.112.102:35455/gaoma/cctv4.m3u8#http://lt.hxtre.com:35455/gaoma/cctv4.m3u8#http://lt.hxtre.com:35455/gaoma/cctv4k.m3u8
CCTV5体育,http://goo.bkpcp.top/mg/cctv5#http://z.b.bkpcp.top/m.php?id=cctv5#http://drive.mxmy.net:8888/udp/239.3.1.173:8001#http://61.160.112.102:35455/gaoma/cctv5.m3u8#http://lt.hxtre.com:35455/itv/1000000005000265005.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/gaoma/cctv5.m3u8#http://lt.hxtre.com:35455/itv/1000000001000004794.m3u8?cdn=ystenlive
CCTV5+体育赛事,http://goo.bkpcp.top/mg/cctv5p#http://z.b.bkpcp.top/m.php?id=cctv5p#http://drive.mxmy.net:8888/udp/239.3.1.130:8004#http://61.160.112.102:35455/gaoma/cctv5p.m3u8#http://lt.hxtre.com:35455/itv/1000000005000265016.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/gaoma/cctv5p.m3u8#http://lt.hxtre.com:35455/itv/1000000001000020505.m3u8?cdn=ystenlive#http://222.169.85.8:9901/tsfile/live/0116_1.m3u8
CCTV6电影,http://goo.bkpcp.top/mg/cctv6#http://z.b.bkpcp.top/m.php?id=cctv6#http://drive.mxmy.net:8888/udp/239.3.1.174:8001#http://lt.hxtre.com:35455/itv/1000000005000265006.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/itv/1000000001000016466.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/gaoma/cctv6.m3u8#http://lt.hxtre.com:35455/itv/5000000010000018433.m3u8?cdn=bestzb#http://113.140.86.162:8009/hls/6/index.m3u8
CCTV7国防军事,http://goo.bkpcp.top/mg/cctv7#http://z.b.bkpcp.top/m.php?id=cctv7#http://drive.mxmy.net:8888/udp/239.3.1.61:8104#http://61.160.112.102:35455/gaoma/cctv7.m3u8#http://lt.hxtre.com:35455/itv/1000000005000265007.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/gaoma/cctv7.m3u8#http://lt.hxtre.com:35455/itv/5000000005000026715.m3u8?cdn=bestzb#http://b.zgjok.com:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV8电视剧,http://goo.bkpcp.top/mg/cctv8#http://z.b.bkpcp.top/m.php?id=cctv8#http://drive.mxmy.net:8888/udp/239.3.1.175:8001#http://61.160.112.102:35455/gaoma/cctv8.m3u8#http://lt.hxtre.com:35455/gaoma/cctv8k_36m.m3u8#http://lt.hxtre.com:35455/itv/1000000005000265008.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/gaoma/cctv8.m3u8#http://113.140.86.162:8009/hls/8/index.m3u8
CCTV9纪录,http://goo.bkpcp.top/mg/cctv9#http://z.b.bkpcp.top/m.php?id=cctv9#http://drive.mxmy.net:8888/udp/239.3.1.62:8112#http://61.160.112.102:35455/gaoma/cctv9.m3u8#http://lt.hxtre.com:35455/itv/1000000001000028286.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/gaoma/cctv9.m3u8#http://39.164.160.249:9901/tsfile/live/0009_1.m3u8
CCTV10科教,http://goo.bkpcp.top/mg/cctv10#http://z.b.bkpcp.top/m.php?id=cctv10#http://drive.mxmy.net:8888/udp/239.3.1.63:8116#http://61.160.112.102:35455/gaoma/cctv10.m3u8#http://lt.hxtre.com:35455/itv/1000000005000265010.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/gaoma/cctv10.m3u8
CCTV11戏曲,http://goo.bkpcp.top/mg/cctv11#http://z.b.bkpcp.top/m.php?id=cctv11#http://drive.mxmy.net:8888/udp/239.3.1.152:8120#http://61.160.112.102:35455/gaoma/cctv11.m3u8#http://lt.hxtre.com:35455/itv/1000000002000019789.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/gaoma/cctv11.m3u8#http://39.164.160.249:9901/tsfile/live/0011_1.m3u8
CCTV12社会与法,http://goo.bkpcp.top/mg/cctv12#http://z.b.bkpcp.top/m.php?id=cctv12#http://drive.mxmy.net:8888/udp/239.3.1.64:8124#http://61.160.112.102:35455/gaoma/cctv12.m3u8#http://lt.hxtre.com:35455/gaoma/cctv12.m3u8#http://lt.hxtre.com:35455/itv/1000000001000001640.m3u8?cdn=ystenlive#http://39.164.160.249:9901/tsfile/live/0012_1.m3u8
CCTV13新闻,http://goo.bkpcp.top/mg/cctv13#http://z.b.bkpcp.top/m.php?id=cctv13#http://drive.mxmy.net:8888/udp/239.3.1.124:8128#http://61.160.112.102:35455/gaoma/cctv13.m3u8#http://lt.hxtre.com:35455/gaoma/cctv13.m3u8#http://www.lizhinas.top:1009/rtp/239.252.219.139:5140
CCTV14少儿,http://goo.bkpcp.top/mg/cctv14#http://z.b.bkpcp.top/m.php?id=cctv14#http://drive.mxmy.net:8888/udp/239.3.1.65:8132#http://61.160.112.102:35455/gaoma/cctv14.m3u8#http://lt.hxtre.com:35455/gaoma/cctv14.m3u8#http://lt.hxtre.com:35455/itv/1000000005000265013.m3u8?cdn=ystenlive#http://b.zgjok.com:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV15音乐,http://goo.bkpcp.top/mg/cctv15#http://z.b.bkpcp.top/m.php?id=cctv15#http://drive.mxmy.net:8888/udp/239.3.1.153:8136#http://61.160.112.102:35455/gaoma/cctv15.m3u8#http://lt.hxtre.com:35455/gaoma/cctv15.m3u8#http://lt.hxtre.com:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV16奥林匹克,http://drive.mxmy.net:8888/udp/239.3.1.184:8001#http://61.160.112.102:35455/gaoma/cctv16.m3u8#http://drive.mxmy.net:8888/udp/239.3.1.183:8001#http://lt.hxtre.com:35455/gaoma/cctv16.m3u8#http://lt.hxtre.com:35455/itv/1000000006000233002.m3u8?cdn=ystenlive#http://58.17.48.228:808/hls/25/index.m3u8
CCTV17农业农村,http://goo.bkpcp.top/mg/cctv17#http://z.b.bkpcp.top/m.php?id=cctv17#http://drive.mxmy.net:8888/udp/239.3.1.151:8144#http://61.160.112.102:35455/gaoma/cctv17.m3u8#http://lt.hxtre.com:35455/itv/1000000005000265015.m3u8?cdn=ystenlive#http://lt.hxtre.com:35455/gaoma/cctv17.m3u8#http://lt.hxtre.com:35455/itv/1000000006000268004.m3u8?cdn=ystenlive
2-🥬💰央视付费,#genre#
CETV2空中课堂,http://drive.mxmy.net:8888/udp/239.3.1.54:4120
CETV3教育服务,http://drive.mxmy.net:8888/udp/239.3.1.55:4120
CETV4职业教育,http://drive.mxmy.net:8888/udp/239.3.1.56:4120
中国教育电视台,http://drive.mxmy.net:8888/udp/239.3.1.57:8152
中国交通,http://drive.mxmy.net:8888/udp/239.3.1.188:8001
CCTV4美洲,http://drive.mxmy.net:8888/udp/239.3.1.214:4220#http://z.b.bkpcp.top/m.php?id=cctv4m
CCTV4欧洲,http://drive.mxmy.net:8888/udp/239.3.1.213:4220#http://z.b.bkpcp.top/m.php?id=cctv4o
CCTV兵器科技,http://www.lizhinas.top:1009/rtp/239.252.219.98:5140
CCTV电视指南,http://www.lizhinas.top:1009/rtp/239.252.219.97:5140
CCTV发现之旅,http://goo.bkpcp.top/mg/fxzl
CCTV风云音乐,http://www.lizhinas.top:1009/rtp/239.252.219.87:5140
CCTV风云足球,http://111.61.236.247:9081/hls/58/index.m3u8
CCTV高尔夫网球,http://www.lizhinas.top:1009/rtp/239.252.219.95:5140
CCTV怀旧剧场,http://111.61.236.247:9081/hls/67/index.m3u8
CCTV老故事,http://goo.bkpcp.top/mg/lgs
CCTV世界地理,http://111.61.236.247:9081/hls/62/index.m3u8
CCTV央视台球,http://www.lizhinas.top:1009/rtp/239.252.219.80:5140
CCTV中学生,http://goo.bkpcp.top/mg/zxs
CGTN阿语,http://goo.bkpcp.top/mg/cgtna#http://drive.mxmy.net:8888/udp/239.3.1.219:4220
CGTN俄语,http://goo.bkpcp.top/mg/cgtnr#http://drive.mxmy.net:8888/udp/239.3.1.220:4220
