
服务器1goo.bkpcp.top,#genre#
CCTV1综合,http://goo.bkpcp.top/mg/cctv1
CCTV2财经,http://goo.bkpcp.top/mg/cctv2
CCTV3综艺,http://goo.bkpcp.top/mg/cctv3
CCTV4中文国际,http://goo.bkpcp.top/mg/cctv4
CCTV5体育,http://goo.bkpcp.top/mg/cctv5
CCTV5+体育赛事,http://goo.bkpcp.top/mg/cctv5p
CCTV6电影,http://goo.bkpcp.top/mg/cctv6
CCTV7国防军事,http://goo.bkpcp.top/mg/cctv7
CCTV8电视剧,http://goo.bkpcp.top/mg/cctv8
CCTV9纪录,http://goo.bkpcp.top/mg/cctv9
CCTV10科教,http://goo.bkpcp.top/mg/cctv10
CCTV11戏曲,http://goo.bkpcp.top/mg/cctv11
CCTV12社会与法,http://goo.bkpcp.top/mg/cctv12
CCTV13新闻,http://goo.bkpcp.top/mg/cctv13
CCTV14少儿,http://goo.bkpcp.top/mg/cctv14
CCTV15音乐,http://goo.bkpcp.top/mg/cctv15
CCTV16奥林匹克,http://goo.bkpcp.top/mg/cctv16
CCTV17农业农村,http://goo.bkpcp.top/mg/cctv17
CCTV1,http://goo.bkpcp.top/mg/cctv1
CCTV2,http://goo.bkpcp.top/mg/cctv2
CCTV3,http://goo.bkpcp.top/mg/cctv3
CCTV4,http://goo.bkpcp.top/mg/cctv4
CCTV5,http://goo.bkpcp.top/mg/cctv5
CCTV5+,http://goo.bkpcp.top/mg/cctv5p
CCTV6,http://goo.bkpcp.top/mg/cctv6
CCTV7,http://goo.bkpcp.top/mg/cctv7
CCTV9,http://goo.bkpcp.top/mg/cctv9
CCTV10,http://goo.bkpcp.top/mg/cctv10
CCTV11,http://goo.bkpcp.top/mg/cctv11
CCTV12,http://goo.bkpcp.top/mg/cctv12
CCTV13,http://goo.bkpcp.top/mg/cctv13
CCTV14,http://goo.bkpcp.top/mg/cctv14
CCTV15,http://goo.bkpcp.top/mg/cctv15
CCTV16,http://goo.bkpcp.top/mg/cctv16
CCTV17,http://goo.bkpcp.top/mg/cctv17
杭州少体,http://goo.bkpcp.top/mg/hzse
杭州生活,http://goo.bkpcp.top/mg/hzsh
杭州综合,http://goo.bkpcp.top/mg/hzzh
杭州影视,http://goo.bkpcp.top/mg/hzys
海南卫视,http://goo.bkpcp.top/mg/hinws
陕西卫视,http://goo.bkpcp.top/mg/sxws
游戏风云,http://goo.bkpcp.top/mg/yxfy
杭州明珠,http://goo.bkpcp.top/mg/hzmz
CHC动作电影,http://goo.bkpcp.top/mg/chcdz
之江纪录,http://goo.bkpcp.top/mg/zjjl
嵊泗综合,http://goo.bkpcp.top/mg/ssxwzh
山东教育,http://goo.bkpcp.top/mg/sdjy
CCTV老故事,http://goo.bkpcp.top/mg/lgs
CGTN阿语,http://goo.bkpcp.top/mg/cgtna
发现之旅,http://goo.bkpcp.top/mg/fxzl
老故事,http://goo.bkpcp.top/mg/lgs
中学生,http://goo.bkpcp.top/mg/zxs
CGTN纪录,http://goo.bkpcp.top/mg/cgtnjl
CGTN西语,http://goo.bkpcp.top/mg/cgtne
CGTN法语,http://goo.bkpcp.top/mg/cgtnf
CGTN俄语,http://goo.bkpcp.top/mg/cgtnr
东方卫视,http://goo.bkpcp.top/mg/dfws
吉林卫视,http://goo.bkpcp.top/mg/jlws
青海卫视,http://goo.bkpcp.top/mg/qhws
湖北卫视,http://goo.bkpcp.top/mg/hubws
江西卫视,http://goo.bkpcp.top/mg/jxws
江苏卫视,http://goo.bkpcp.top/mg/jsws
广东卫视,http://goo.bkpcp.top/mg/gdws
大湾区卫视,http://goo.bkpcp.top/mg/dwqws
四海钓鱼,http://goo.bkpcp.top/mg/shdy
江苏教育,http://goo.bkpcp.top/mg/jsjy
欢笑剧场,http://goo.bkpcp.top/mg/hxjc
CCTV发现之旅,http://goo.bkpcp.top/mg/fxzl
CCTV中学生,http://goo.bkpcp.top/mg/zxs
欢笑剧场,http://goo.bkpcp.top/mg/hxjc

服务器2bkpcp,#genre#
CCTV1综合,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV2财经,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV3综艺,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV4中文国际,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV5体育,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV5+体育赛事,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV6电影,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV7国防军事,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV8电视剧,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV9纪录,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV10科教,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV11戏曲,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV12社会与法,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV13新闻,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV14少儿,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV15音乐,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV16奥林匹克,http://z.b.bkpcp.top/m.php?id=cctv16
CCTV17农业农村,http://z.b.bkpcp.top/m.php?id=cctv17
CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV2,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV3,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV4,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV5,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV5+,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV6,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV7,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV8,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV9,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV10,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV11,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV12,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV13,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV14,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV15,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV16,http://z.b.bkpcp.top/m.php?id=cctv16
CCTV17,http://z.b.bkpcp.top/m.php?id=cctv17
家庭影院,http://z.b.bkpcp.top/m.php?id=jtyy
东方影视,http://z.b.bkpcp.top/m.php?id=shys
陕西卫视,http://z.b.bkpcp.top/m.php?id=sxws
湖北卫视,http://z.b.bkpcp.top/m.php?id=hubws
江西卫视,http://z.b.bkpcp.top/m.php?id=jxws
江苏卫视,http://z.b.bkpcp.top/m.php?id=jsws
广东卫视,http://z.b.bkpcp.top/m.php?id=gdws
游戏风云,http://z.b.bkpcp.top/m.php?id=yxfy
七彩戏剧,http://z.b.bkpcp.top/m.php?id=qcxj
欢笑剧场,http://z.b.bkpcp.top/m.php?id=hxjc
魅力足球,http://z.b.bkpcp.top/m.php?id=mlzq
劲爆体育,http://z.b.bkpcp.top/m.php?id=jbty
动作电影+,http://z.b.bkpcp.top/m.php?id=dzdy

服务器3wouu,#genre#
CCTV1综合,http://wouu.net:9977/udp/239.93.0.184:5140
爱上4K,http://wouu.net:9977/udp/239.93.0.97:5140
天元围棋,http://wouu.net:9977/udp/239.93.42.55:5140
凤凰中文,http://wouu.net:9977/rtp/239.93.0.162:2192?Cf=cfss.cc
星空卫视,http://wouu.net:9977/udp/239.93.0.156:2193
经典电影,http://wouu.net:9977/udp/239.93.0.57:9024
青春动漫,http://wouu.net:9977/udp/239.93.0.146:5140
生活时尚,http://wouu.net:9977/udp/239.93.42.29:5140
热门综艺,http://wouu.net:9977/udp/239.93.0.151:5140
快乐垂钓,http://wouu.net:9977/udp/239.93.1.151:5140
游戏风云,http://wouu.net:9977/udp/239.93.0.136:5140
戏曲精选,http://wouu.net:9977/udp/239.93.0.144:5140
中录动漫4K,http://wouu.net:9977/udp/239.93.1.188:5140
亲子趣学4K,http://wouu.net:9977/udp/239.93.1.191:5140
绚影4K,http://wouu.net:9977/udp/239.93.42.33:5140
凤凰资讯,http://wouu.net:9977/rtp/239.93.0.118:2191?Cf=cfss.cc
四川影视文艺,http://wouu.net:9977/udp/239.93.0.166:5140
四川经济,http://wouu.net:9977/udp/239.93.1.101:5140
四川文化旅游,http://wouu.net:9977/udp/239.93.1.102:5140
四川科教,http://wouu.net:9977/udp/239.93.42.44:5140
四川公共乡村,http://wouu.net:9977/udp/239.93.0.52:5140
康巴卫视,http://wouu.net:9977/udp/239.93.0.41:5140
优漫卡通,http://wouu.net:9977/udp/239.93.0.251:5140
炫动卡通,http://wouu.net:9977/udp/239.93.0.173:5140
宝宝动画,http://wouu.net:9977/udp/239.93.0.147:5140
东方财经,http://wouu.net:9977/udp/239.93.1.165:5140
陕西农林,http://wouu.net:9977/udp/239.93.0.100:5140
电竞天堂,http://wouu.net:9977/udp/239.93.1.135:5140
4K电影,http://wouu.net:9977/udp/239.93.1.156:5140
津津悦读4K,http://wouu.net:9977/udp/239.93.1.197:5140
军情观察4K,http://wouu.net:9977/udp/239.93.1.198:5140
乐享4K,http://wouu.net:9977/udp/239.93.0.43:5140


服务器4（148.135）,#genre#
CCTV1综合,http://148.135.93.213/live.php?id=CCTV1
CCTV2财经,http://148.135.93.213/live.php?id=CCTV2
CCTV3综艺,http://148.135.93.213/live.php?id=CCTV3
CCTV4中文国际,http://148.135.93.213/live.php?id=CCTV4
CCTV5体育,http://148.135.93.213/live.php?id=CCTV5
CCTV5+体育赛事,http://148.135.93.213/live.php?id=CCTV5p
CCTV6电影,http://148.135.93.213/live.php?id=CCTV6
